,userId,movieId,rating,timestamp
0,1,1,4.0,964982703
1,1,3,4.0,964981247
2,1,6,4.0,964982224
3,1,47,5.0,964983815
4,1,50,5.0,964982931
5,1,70,3.0,964982400
6,1,101,5.0,964980868
7,1,110,4.0,964982176
8,1,151,5.0,964984041
9,1,157,5.0,964984100
10,1,163,5.0,964983650
11,1,216,5.0,964981208
12,1,223,3.0,964980985
13,1,231,5.0,964981179
14,1,235,4.0,964980908
16,1,296,3.0,964982967
17,1,316,3.0,964982310
18,1,333,5.0,964981179
19,1,349,4.0,964982563
20,1,356,4.0,964980962
21,1,362,5.0,964982588
22,1,367,4.0,964981710
23,1,423,3.0,964982363
24,1,441,4.0,964980868
25,1,457,5.0,964981909
26,1,480,4.0,964982346
27,1,500,3.0,964981208
28,1,527,5.0,964984002
29,1,543,4.0,964981179
30,1,552,4.0,964982653
31,1,553,5.0,964984153
34,1,593,4.0,964983793
35,1,596,5.0,964982838
36,1,608,5.0,964982931
37,1,648,3.0,964982563
38,1,661,5.0,964982838
39,1,673,3.0,964981775
40,1,733,4.0,964982400
41,1,736,3.0,964982653
42,1,780,3.0,964984086
43,1,804,4.0,964980499
44,1,919,5.0,964982475
45,1,923,5.0,964981529
46,1,940,5.0,964982176
62,1,1089,5.0,964982951
64,1,1092,5.0,964983484
66,1,1127,4.0,964982513
77,1,1220,5.0,964981909
232,2,318,3.0,1445714835
233,2,333,4.0,1445715029
261,3,31,0.5,1306463578
262,3,527,0.5,1306464275
263,3,647,0.5,1306463619
264,3,688,0.5,1306464228
266,3,849,5.0,1306463611
268,3,1093,0.5,1306463627
269,3,1124,0.5,1306464216
300,4,21,3.0,986935199
301,4,32,2.0,945173447
302,4,45,3.0,986935047
303,4,47,2.0,945173425
304,4,52,3.0,964622786
305,4,58,3.0,964538444
306,4,106,4.0,986848784
307,4,125,5.0,964622758
308,4,126,1.0,986848920
309,4,162,5.0,945078571
310,4,171,3.0,945078428
311,4,176,5.0,964622565
312,4,190,2.0,945079259
313,4,215,5.0,945079078
314,4,222,1.0,945629040
315,4,232,5.0,964622684
316,4,235,2.0,945173513
317,4,247,3.0,986848894
319,4,265,5.0,964538468
320,4,296,1.0,945173350
321,4,319,5.0,945079182
322,4,342,5.0,964538500
323,4,345,4.0,945629063
324,4,348,4.0,964622786
325,4,351,3.0,986934901
326,4,357,3.0,964623306
327,4,368,4.0,945078690
328,4,417,2.0,945078467
329,4,441,1.0,986934915
330,4,450,2.0,986848828
331,4,457,5.0,945079259
332,4,475,5.0,945174290
333,4,492,5.0,945079872
334,4,509,1.0,945079106
335,4,538,5.0,945078636
336,4,539,1.0,964538832
337,4,553,2.0,945079301
338,4,588,4.0,945079670
339,4,593,5.0,964539986
340,4,595,3.0,986848609
342,4,608,5.0,964540008
343,4,648,3.0,945079906
344,4,708,4.0,986935230
345,4,759,3.0,945078601
346,4,800,4.0,945079106
347,4,892,4.0,964622714
348,4,898,5.0,964623347
351,4,904,4.0,945079837
354,4,912,5.0,945173902
356,4,919,5.0,945079521
357,4,920,5.0,945173602
358,4,930,5.0,964538571
370,4,1094,3.0,964538500
374,4,1183,1.0,964778513
375,4,1188,5.0,964538500
516,5,1,4.0,847434962
517,5,21,4.0,847435238
518,5,34,4.0,847434881
519,5,36,4.0,847435292
520,5,39,3.0,847434961
521,5,50,4.0,847434881
522,5,58,5.0,847435238
523,5,110,4.0,847434880
524,5,150,3.0,847434748
526,5,232,4.0,847435292
527,5,247,5.0,847435337
528,5,253,3.0,847435292
529,5,261,4.0,847435238
530,5,265,3.0,847435129
531,5,266,1.0,847435311
532,5,290,5.0,847435311
533,5,296,5.0,847434748
534,5,300,3.0,847435337
535,5,316,2.0,847434832
536,5,318,3.0,847434880
537,5,344,3.0,847434802
538,5,349,3.0,847434832
539,5,357,2.0,847435238
540,5,364,3.0,847434882
541,5,367,4.0,847435129
542,5,380,2.0,847434748
